cluster_id,label,size,keywords,example_titles,centroid_x,centroid_y,color
0,Applications & Business Systems Analysis,52,"applications, analyst, systems, solutions, systems analyst","Applications Systems Analyst, PD AI Analyst, Senior Business Systems Analyst",-2.6677386208942546,27.09529099091677,#29fab1
1,Treasury & Corporate Finance Leadership,28,"finance, cash, treasury, financial, corporate","Manager, Treasury and Corporate Finance, VP Corporate Finance, VP, Corporate Finance",37.74937886627122,-1.9874074123978847,#026292
2,Customer Service & Logistics (Supply Chain Execution),22,"supply, supply chain, chain, customer, logistics","Supply Logistics Specialist, Shipping Logistics Specialist, CS Specialist",-21.678017772537128,-36.18419423637735,#1e5c50
3,Corporate Admin Support (Office Coordination),23,"travel, administrative, meetings, executive, office","PD IT Administrative Assistant, PD Executive Assistant Global IT, Executive Office Coordinator",15.249385587906676,-31.54920256028341,#a167ca
4,IT Applications Support,24,"analyst, applications analyst, systems analyst, senior applications, jds","Senior Applications Analyst, Applications Analyst, Senior Systems Analyst",-12.730333338287204,42.019907789664565,#fc48c8
5,Process Engineering,11,"plant, process, process engineering, engineering, process engineer","Process Engineer IV, Senior Process Engineer, Lead Process Engineer",-48.475433630765245,15.87706297066798,#f6f849
6,Financial Reporting & Accounting (Controllership),51,"accounting, financial, reporting, corporate, analysis","Senior Reporting Analyst, Financial Reporting Analyst, Financial Accountant",30.154029258118953,14.331619982026758,#3eb179
7,HR Operations,41,"payroll, human, human resources, mobility, benefits","HR & Benefits Coordinator, HR Advisor, HR Coordinator",19.819013362182627,-0.4056603154900313,#e9f63f
8,Plant Operations & HSE / Shift & Lab Support,25,"plant, shift, operator, safety, laboratory","Production Shift Supervisor, Process Operator, Lead Process Operator",-31.677856833587967,-20.862383975101597,#bee5fd
9,Corporate Communications & Sustainability/ESG,31,"communications, sustainability, relations, global communications, media","Manager, Global Communications, Director, Global Communications, Manager, Global Communications, Manufacturing",5.068402613302807,9.910316355947995,#ea9747
10,Engineering (Electrical / Instrumentation & Controls),14,"electrical, instrumentation, instrument, control, control systems","IE Engineer, IE Engineer MH, Instrumentation Technician",-41.63993517433441,-1.863858423271259,#b3ed3b
11,Internal Audit & SOX Compliance,16,"internal audit, audit, internal, sox, internal auditor","Senior Internal Auditor, Internal Auditor, Manager, Internal Audit",31.49010169388513,32.72317198764189,#1b40d2
12,Tax & Transfer Pricing,32,"tax, transfer pricing, pricing, transfer, taxation","Senior Analyst, Tax & Transfer Pricing, Senior Tax Analyst JW, Senior Analyst, Transfer Pricing",48.144904120692786,14.904669710363539,#95c20a
13,Legal (Corporate Counsel / Transactions),15,"legal, corporate, counsel, law, corporate transactions","Corporate Counsel, Senior Counsel, Associate General Counsel",15.403362456778137,24.647518618880873,#be9c30
14,Executive & Legal Administrative Support,18,"administrative, assistant, travel, legal, meetings","Executive Assistant Legal, Executive Assistant to SVP Corporate Resources, Human Resources Assistant",26.74169531179862,-17.02888209335193,#0294e5
15,Front Office & Reception,12,"office, executive office, reception, executive, guests","  Corporate Office Receptionist, Corporate Office Receptionist, Administrative Assistant",8.891776382970622,-14.709348706259156,#435774
16,Process Safety,22,"safety, process safety, risk, loss, psm","Process Safety Engineer, Manager Responsible Care, Loss Prevention Engineer",-23.856938857082767,-4.6502589487957415,#34d51e
17,Maintenance & Reliability Engineering,18,"equipment, reliability, maintenance, rotating, rotating equipment","Maintenance Engineering Mechanical MH, Maintenance Engineering Mechanical, Sr Reliability Engineer Rotating Equipment",-54.40879168855914,-14.55070839896505,#5e919b
18,Oracle Finance Systems,23,"oracle, module, oracle solutions, finance, solutions","Business Lead, Oracle Solutions, Senior Business Lead, Oracle Solutions DRAFT, Business Lead, Oracle Solutions Finance",9.457628768798658,41.63715665150885,#9f886a
19,Enterprise IT / Technology Services,50,"project, technology, global, services, manufacturing","Director, Global Business Applications Management Services, IT BRM, Manager, Global IT Business Solutions",-12.796909966221728,12.215778712987918,#28fb97
20,Global Supply Chain Planning,38,"supply, global, supply chain, chain, global supply","Manager, Global Supply Chain Planning, PD Director, Global Supply Chain, Global Supply Chain Planner Manager, Global Supply Chain Planning",-1.8859541483540858,-37.061010845282446,#9b2bf7
21,Procurement / Buying,11,"procurement, buyer, accounting, beaumont, inventory","Buyer, Senior Buyer Beaumont, Operational Buyer Beaumont",-5.858784852328463,-4.393310671554504,#27d029
22,IT Service Desk & End-User Support,22,"service desk, desk, service, desktop, global service","IT Service Desk Analyst, PD IT Service Desk Analyst, IT Analyst",-25.993124587443727,29.850268019001774,#433430
23,Mechanical Maintenance Planning,18,"project, mechanical, turnaround, tar, execution","Mechanical Project Execution Coordinator, Mechanical Planner Geismar, Project Engineer Mechanical",-30.7946297022604,12.50227871009066,#21cdec
24,Admin Support (Document Control),5,"document control, location plymouth, plymouth, administrator, document","Global Admin, Global Coordinator, Business Support Administrator Fixed",-11.116834616764752,-21.608181511269887,#a08b2b
